location,WIB,P_surf(hPa),T2m(oC),U10(m/s),V10(m/s),mslp(),luindex(-),RH2(%),RH (%),luindex
Lembang,2015-01-04T07:00:00Z,86296.9922,20.7384,0.7156,-0.2952,1010.8665,10,89.38,NA,NA
Lembang,2015-01-04T08:00:00Z,86333.2578,17.4709,4.4452,0.6327,1012.7654,10,100,NA,NA
Lembang,2015-01-04T09:00:00Z,86315.5078,18.0679,6.6288,0.0867,1012.4952,10,99.5678,NA,NA
Lembang,2015-01-04T10:00:00Z,86266.1641,17.5103,9.5644,-1.0454,1011.6942,10,97.7948,NA,NA
Lembang,2015-01-04T11:00:00Z,86198.6875,18.8265,10.0471,-0.5685,1010.7917,10,94.1146,NA,NA
Lembang,2015-01-04T12:00:00Z,86179.6406,19.2151,8.6772,0.7883,1010.5362,10,93.3977,NA,NA
Lembang,2015-01-04T13:00:00Z,86183.5781,19.3477,8.2958,1.1212,1010.9227,10,93.3638,NA,NA
Lembang,2015-01-04T14:00:00Z,86215.2578,19.085,7.7563,0.7697,1011.3135,10,95.3501,NA,NA
Lembang,2015-01-04T15:00:00Z,86227.8359,19.6115,9.1868,1.6892,1011.42,10,88.0965,NA,NA
Lembang,2015-01-04T16:00:00Z,86233.6563,19.1761,7.5797,1.6461,1011.4286,10,91.3224,NA,NA
Lembang,2015-01-04T17:00:00Z,86237.2969,18.603,7.1249,1.2164,1011.5076,10,94.3273,NA,NA
Lembang,2015-01-04T18:00:00Z,86238.0469,17.6969,6.2393,1.0062,1011.4573,10,100,NA,NA
Lembang,2015-01-04T19:00:00Z,86258.5859,17.2207,6.9356,0.6079,1011.5536,10,97.3967,NA,NA
Lembang,2015-01-04T20:00:00Z,86251.3672,16.9071,6.5982,0.7968,1011.5397,10,97.6126,NA,NA
Lembang,2015-01-04T21:00:00Z,86245.4453,17.0898,6.3511,0.9225,1011.6218,10,97.3154,NA,NA
Lembang,2015-01-04T22:00:00Z,86245.6875,16.8791,6.2016,0.2776,1011.6102,10,98.1866,NA,NA
Lembang,2015-01-04T23:00:00Z,86230.0156,16.919,6.3271,0.094,1011.3356,10,97.5815,NA,NA
Lembang,2015-01-05T00:00:00Z,86226.5078,16.5601,6.3889,-0.0913,1011.3243,10,97.3568,NA,NA
Lembang,2015-01-05T01:00:00Z,86227.0547,16.394,6.2453,-0.5162,1011.3146,10,97.532,NA,NA
Lembang,2015-01-05T02:00:00Z,86237.7734,16.4018,6.1273,-0.9542,1011.3859,10,96.8863,NA,NA
Lembang,2015-01-05T03:00:00Z,86258.2891,16.0465,5.5087,-0.3037,1011.6695,10,100,NA,NA
Lembang,2015-01-05T04:00:00Z,86254.625,16.5489,5.5755,-0.8548,1011.6418,10,98.2353,NA,NA
Lembang,2015-01-05T05:00:00Z,86277.0547,16.2971,5.5153,-1.2336,1012.0555,10,98.5583,NA,NA
Lembang,2015-01-05T06:00:00Z,86286.5078,16.3456,5.9817,-2.1049,1012.14,10,96.5973,NA,NA
Lembang,2015-01-05T07:00:00Z,86283.3672,17.3967,5.8426,-1.4122,1012.1683,10,91.7991,NA,NA
Lembang,2015-01-05T08:00:00Z,86278.5859,18.014,5.8666,0.4548,1012.0271,10,92.0987,NA,NA
Lembang,2015-01-05T09:00:00Z,86267.3047,18.733,5.8819,0.2816,1011.9406,10,89.5113,NA,NA
Lembang,2015-01-05T10:00:00Z,86252.3828,19.378,5.7086,0.9092,1011.7516,10,86.713,NA,NA
Lembang,2015-01-05T11:00:00Z,86235.3594,20.0916,5.7236,1.2283,1011.4556,10,81.9752,NA,NA
Lembang,2015-01-05T12:00:00Z,86212.5859,20.8521,5.8113,0.9948,1011.1733,10,79.0611,NA,NA
Lembang,2015-01-05T13:00:00Z,86202.0156,21.5224,5.9941,0.275,1011.103,10,76.508,NA,NA
Lembang,2015-01-05T14:00:00Z,86194.5156,21.8093,6.8544,-0.9991,1010.965,10,76.3134,NA,NA
Lembang,2015-01-05T15:00:00Z,86180.8516,21.5572,7.9448,-0.8796,1010.7188,10,78.8174,NA,NA
Lembang,2015-01-05T16:00:00Z,86183.3281,21.0264,8.0393,0.391,1010.7509,10,81.9135,NA,NA
Lembang,2015-01-05T17:00:00Z,86213.1719,19.7657,8.4139,0.7712,1010.9992,10,89.1462,NA,NA
Lembang,2015-01-05T18:00:00Z,86235.3516,18.6082,7.0995,0.1959,1011.1601000000001,10,95.5326,NA,NA
Lembang,2015-01-05T19:00:00Z,86278.9297,18.1017,5.647,-0.6569,1011.6507,10,94.7567,NA,NA
Lembang,2015-01-05T20:00:00Z,86243.1328,18.0693,5.6512,-1.1081,1011.4113,10,89.5183,NA,NA
Lembang,2015-01-05T21:00:00Z,86225.5313,17.8513,5.1143,-0.8088,1011.3309,10,88.7508,NA,NA
